dropoutPerc,kmeans3,kmeans4,kmeans5,kmeans6,lat,lon
43.93305,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
30.92783,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
32.39436,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
24.40191,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
32.60073,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
38.17034,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
43.93305,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
30.92783,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
32.39436,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
24.40191,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
22.75449,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
16.66666,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
23.41463,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
22.67441,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
24.69879,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
38.69969,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
43.90243,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
31.52709,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
35.61643,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
27.48815,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
22.4852,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
19.23076,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
26.08695,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
26.16279,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
25.90361,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.720183,-73.986101
16.96428,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
15.25423,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
16.96428,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
15.25423,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
24.64788,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
23.02631,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
19.07894,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
23.52941,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
19.85294,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
17.3913,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
24.64788,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
23.02631,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
19.07894,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
23.52941,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
20.58823,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
17.3913,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
16.52173,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
18.47826,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
30.23255,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
24.67532,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
20.66666,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
26.86567,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
20.0,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
17.60563,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
19.13043,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
22.82608,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
34.88372,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.722423,-73.9906
25.0,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.741218,-73.988787
20.0,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.741218,-73.988787
20.0,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.763679,-73.990346
21.68674,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.763679,-73.990346
25.0,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.763679,-73.990346
19.48051,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
17.10526,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
17.07317,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
20.45454,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
19.48051,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
17.10526,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
17.07317,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
20.45454,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
54.54545,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
23.37662,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
17.33333,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
16.25,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
17.10526,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
21.34831,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
54.54545,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
17.10526,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714722,-73.982528
17.10526,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714722,-73.982528
18.66666,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714722,-73.982528
15.66265,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714722,-73.982528
18.66666,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714722,-73.982528
15.66265,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714722,-73.982528
17.34693,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714722,-73.982528
21.33333,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714722,-73.982528
15.85365,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.714722,-73.982528
19.2771,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.716184,-73.993521
19.2771,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.716184,-73.993521
19.23076,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.716184,-73.993521
24.35897,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.716184,-73.993521
19.23076,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.716184,-73.993521
24.35897,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.716184,-73.993521
24.35897,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.716184,-73.993521
17.94871,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.716184,-73.993521
21.11111,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
15.625,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
16.98113,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
18.36734,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
21.05263,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
20.25316,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
19.7183,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
19.04761,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
21.11111,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
15.625,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
16.98113,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
18.36734,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
21.05263,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
20.25316,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
19.7183,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
19.04761,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
23.40425,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
20.0,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
25.77319,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
23.00884,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
26.31578,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
25.37313,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
23.40425,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
20.0,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
25.77319,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
23.00884,#d5f4e6,#d5f4e6,#d5f4e6,#d5f4e6,40.765551,-73.993584
