kmeans3,kmeans4,kmeans5,kmeans6,lat,lon
#993333,#993333,#993333,#993333,40.690081,-73.96056
#993333,#993333,#993333,#993333,40.800694,-73.941109
#993333,#993333,#993333,#993333,40.671107,-73.881433
#993333,#993333,#993333,#993333,40.586466,-73.816522
#993333,#993333,#993333,#993333,40.697964,-73.918083
#993333,#993333,#993333,#993333,40.823101,-73.86969
#993333,#993333,#993333,#993333,40.576157,-73.975984
#993333,#993333,#993333,#993333,40.82257,-73.911307
#993333,#993333,#993333,#993333,40.843901,-73.900505
#993333,#993333,#993333,#993333,40.630367,-73.973713
#993333,#993333,#993333,#993333,40.80875,-73.952586
#993333,#993333,#993333,#993333,40.602603,-74.003088
#993333,#993333,#993333,#993333,40.767177,-73.963807
#993333,#993333,#993333,#993333,40.726554,-73.987828
#993333,#993333,#993333,#993333,40.658193,-74.001032
#993333,#993333,#993333,#993333,40.764818,-73.98519
#993333,#993333,#993333,#993333,40.658193,-74.001032
#993333,#993333,#993333,#993333,40.756861,-73.875657
#993333,#993333,#993333,#993333,40.674583,-73.930222
#993333,#993333,#993333,#993333,40.837324,-73.919831
#993333,#993333,#993333,#993333,40.726554,-73.987828
#993333,#993333,#993333,#993333,40.630367,-73.973713
#993333,#993333,#993333,#993333,40.823101,-73.86969
#993333,#993333,#993333,#993333,40.722364,-73.851474
#993333,#993333,#993333,#993333,40.671107,-73.881433
#993333,#993333,#993333,#993333,40.800694,-73.941109
#993333,#993333,#993333,#993333,40.883383,-73.902333
#993333,#993333,#993333,#993333,40.644726,-74.077483
#993333,#993333,#993333,#993333,40.823101,-73.86969
#993333,#993333,#993333,#993333,40.745253,-73.870063
#993333,#993333,#993333,#993333,40.851488,-73.935458
#993333,#993333,#993333,#993333,40.78926,-73.94771
#993333,#993333,#993333,#993333,40.85396,-73.900121
#993333,#993333,#993333,#993333,40.745253,-73.870063
#993333,#993333,#993333,#993333,40.722364,-73.851474
#993333,#993333,#993333,#993333,40.726187,-73.735234
#993333,#993333,#993333,#993333,40.726187,-73.735234
#993333,#993333,#993333,#993333,40.887451,-73.847608
#993333,#993333,#993333,#993333,40.729939,-73.810433
#993333,#993333,#993333,#993333,40.648421,-73.904897
#993333,#993333,#993333,#993333,40.726187,-73.735234
#993333,#993333,#993333,#993333,40.674583,-73.930222
#993333,#993333,#993333,#993333,40.6797,-73.776047
#993333,#993333,#993333,#993333,40.602603,-74.003088
#993333,#993333,#993333,#993333,40.682186,-73.83969
#993333,#993333,#993333,#993333,40.682186,-73.83969
#993333,#993333,#993333,#993333,40.756861,-73.875657
#993333,#993333,#993333,#993333,40.85396,-73.900121
#993333,#993333,#993333,#993333,40.602952,-73.749976
#993333,#993333,#993333,#993333,40.810396,-73.925311
#993333,#993333,#993333,#993333,40.843901,-73.900505
#993333,#993333,#993333,#993333,40.851488,-73.935458
#993333,#993333,#993333,#993333,40.630367,-73.973713
#993333,#993333,#993333,#993333,40.78926,-73.94771
#993333,#993333,#993333,#993333,40.576157,-73.975984
#993333,#993333,#993333,#993333,40.764818,-73.98519
#993333,#993333,#993333,#993333,40.6797,-73.776047
#993333,#993333,#993333,#993333,40.670655,-73.913391
#993333,#993333,#993333,#993333,40.670655,-73.913391
#993333,#993333,#993333,#993333,40.726187,-73.735234
#993333,#993333,#993333,#993333,40.837324,-73.919831
#993333,#993333,#993333,#993333,40.745253,-73.870063
#993333,#993333,#993333,#993333,40.839908,-73.936084
#993333,#993333,#993333,#993333,40.810396,-73.925311
#993333,#993333,#993333,#993333,40.625769,-73.991417
#993333,#993333,#993333,#993333,40.716508,-73.98392
#993333,#993333,#993333,#993333,40.726187,-73.735234
#993333,#993333,#993333,#993333,40.602952,-73.749976
#993333,#993333,#993333,#993333,40.843901,-73.900505
#993333,#993333,#993333,#993333,40.82257,-73.911307
#993333,#993333,#993333,#993333,40.851488,-73.935458
#993333,#993333,#993333,#993333,40.594145,-73.960415
#993333,#993333,#993333,#993333,40.856163,-73.844397
#993333,#993333,#993333,#993333,40.64865,-73.950336
#993333,#993333,#993333,#993333,40.762334,-73.826917
#993333,#993333,#993333,#993333,40.726187,-73.735234
#993333,#993333,#993333,#993333,40.68058,-73.974317
#993333,#993333,#993333,#993333,40.856163,-73.844397
#993333,#993333,#993333,#993333,40.837324,-73.919831
#993333,#993333,#993333,#993333,40.856163,-73.844397
#993333,#993333,#993333,#993333,40.796571,-73.967186
#993333,#993333,#993333,#993333,40.726187,-73.735234
#993333,#993333,#993333,#993333,40.594145,-73.960415
#993333,#993333,#993333,#993333,40.630367,-73.973713
#993333,#993333,#993333,#993333,40.851488,-73.935458
#993333,#993333,#993333,#993333,40.671107,-73.881433
#993333,#993333,#993333,#993333,40.688872,-73.944529
#993333,#993333,#993333,#993333,40.764818,-73.98519
#993333,#993333,#993333,#993333,40.697964,-73.918083
#993333,#993333,#993333,#993333,40.796571,-73.967186
#993333,#993333,#993333,#993333,40.85396,-73.900121
#993333,#993333,#993333,#993333,40.670655,-73.913391
#993333,#993333,#993333,#993333,40.671107,-73.881433
#993333,#993333,#993333,#993333,40.707047,-73.792612
#993333,#993333,#993333,#993333,40.671107,-73.881433
#993333,#993333,#993333,#993333,40.602952,-73.749976
#993333,#993333,#993333,#993333,40.625769,-73.991417
#993333,#993333,#993333,#993333,40.869059,-73.87963
#993333,#993333,#993333,#993333,40.682186,-73.83969
