dropoutPerc,kmeans3,kmeans4,kmeans5,kmeans6,lat,lon
8.247422,#00111a,#00111a,#00111a,#00111a,40.743367,-74.002764
0.0,#00111a,#00111a,#00111a,#00111a,40.582368,-73.968339
3.603603,#00111a,#00111a,#00111a,#00111a,40.583274,-73.833653
10.10101,#00111a,#00111a,#00111a,#00111a,40.806977,-73.938611
5.537459,#00111a,#00111a,#00111a,#00111a,40.66691,-73.895137
13.88888,#00111a,#00111a,#00111a,#00111a,40.720183,-73.986101
7.608695,#00111a,#00111a,#00111a,#00111a,40.806977,-73.938611
14.58333,#00111a,#00111a,#00111a,#00111a,40.705038,-73.938666
8.459214,#00111a,#00111a,#00111a,#00111a,40.66691,-73.895137
0.0,#00111a,#00111a,#00111a,#00111a,40.765148,-73.826567
2.884615,#00111a,#00111a,#00111a,#00111a,40.74183,-74.000396
10.76923,#00111a,#00111a,#00111a,#00111a,40.831201,-73.887229
2.272727,#00111a,#00111a,#00111a,#00111a,40.711894,-73.939176
3.030303,#00111a,#00111a,#00111a,#00111a,40.658815,-73.942977
6.060606,#00111a,#00111a,#00111a,#00111a,40.765409,-73.959814
5.333333,#00111a,#00111a,#00111a,#00111a,40.765551,-73.993584
5.479452,#00111a,#00111a,#00111a,#00111a,40.666933,-73.951185
12.5,#00111a,#00111a,#00111a,#00111a,40.729705,-73.845094
11.11111,#00111a,#00111a,#00111a,#00111a,40.83944,-73.911745
10.37924,#00111a,#00111a,#00111a,#00111a,40.695726,-73.735762
1.923076,#00111a,#00111a,#00111a,#00111a,40.74336,-73.871498
3.38983,#00111a,#00111a,#00111a,#00111a,40.684972,-73.883042
14.52513,#00111a,#00111a,#00111a,#00111a,40.849475,-73.915611
0.0,#00111a,#00111a,#00111a,#00111a,40.757624,-73.983505
0.0,#00111a,#00111a,#00111a,#00111a,40.815244,-73.944316
13.95348,#00111a,#00111a,#00111a,#00111a,40.81499,-73.856076
10.41666,#00111a,#00111a,#00111a,#00111a,40.823164,-73.911188
0.0,#00111a,#00111a,#00111a,#00111a,40.601385,-73.763754
8.333333,#00111a,#00111a,#00111a,#00111a,40.63281,-73.95258
0.0,#00111a,#00111a,#00111a,#00111a,40.593516,-73.936674
4.301075,#00111a,#00111a,#00111a,#00111a,40.765551,-73.993584
10.16949,#00111a,#00111a,#00111a,#00111a,40.714722,-73.982528
0.0,#00111a,#00111a,#00111a,#00111a,40.74336,-73.871498
6.750392,#00111a,#00111a,#00111a,#00111a,40.684972,-73.883042
2.272727,#00111a,#00111a,#00111a,#00111a,40.729324,-74.00631
9.202453,#00111a,#00111a,#00111a,#00111a,40.87757,-73.913451
10.09174,#00111a,#00111a,#00111a,#00111a,40.714722,-73.982528
12.22222,#00111a,#00111a,#00111a,#00111a,40.715539,-73.955142
6.0,#00111a,#00111a,#00111a,#00111a,40.695447,-73.985602
8.235294,#00111a,#00111a,#00111a,#00111a,40.806977,-73.938611
0.0,#00111a,#00111a,#00111a,#00111a,40.649504,-73.958257
14.51612,#00111a,#00111a,#00111a,#00111a,40.842483,-73.916202
5.555555,#00111a,#00111a,#00111a,#00111a,40.743367,-74.002764
6.14035,#00111a,#00111a,#00111a,#00111a,40.678535,-73.87523
6.122448,#00111a,#00111a,#00111a,#00111a,40.87757,-73.913451
10.37037,#00111a,#00111a,#00111a,#00111a,40.849238,-73.930907
11.49425,#00111a,#00111a,#00111a,#00111a,40.839514,-73.901847
3.061224,#00111a,#00111a,#00111a,#00111a,40.765551,-73.993584
8.108108,#00111a,#00111a,#00111a,#00111a,40.641102,-73.898146
5.797101,#00111a,#00111a,#00111a,#00111a,40.839514,-73.901847
14.28571,#00111a,#00111a,#00111a,#00111a,40.870196,-73.896468
2.068965,#00111a,#00111a,#00111a,#00111a,40.700988,-74.011651
10.90909,#00111a,#00111a,#00111a,#00111a,40.875549,-73.861423
