,index,schoolName,Category,Cohort,year,nrStudents,dropoutperc,lon,lat,district
75,1537,QUEST TO LEARN,All Students,4 year June,2012,78,6.410256,-73.982641,40.732708,New York
76,1541,LEADERSHIP AND PUBLIC SERVICE HS,All Students,4 year August,2012,162,12.96296,-74.0027635653,40.74336655,New York
77,1549,LEADERSHIP AND PUBLIC SERVICE HS,All Students,4 year June,2012,162,12.96296,-74.0027635653,40.74336655,New York
78,1588,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,All Students,4 year August,2012,65,23.07692,-73.978851,40.745926,New York
79,1592,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,All Students,4 year June,2012,65,23.07692,-73.978851,40.745926,New York
80,1652,MURRAY HILL ACADEMY,All Students,4 year August,2012,82,10.9756,-73.995516,40.73657,New York
81,1656,MURRAY HILL ACADEMY,All Students,4 year June,2012,82,10.9756,-73.995516,40.73657,New York
82,1668,HUDSON HS OF LEARNING TECHNOLOGIES,All Students,4 year August,2012,124,2.419354,-73.9809815,40.7462177,New York
83,1672,HUDSON HS OF LEARNING TECHNOLOGIES,All Students,4 year June,2012,124,2.419354,-73.9809815,40.7462177,New York
84,1684,INTERNATIONAL HS AT UNION SQUARE,All Students,4 year August,2012,90,13.33333,-74.0027635653,40.74336655,New York
85,1689,INTERNATIONAL HS AT UNION SQUARE,All Students,4 year June,2012,90,13.33333,-74.0027635653,40.74336655,New York
86,1705,MANHATTAN VILLAGE ACADEMY,All Students,4 year August,2012,95,0.0,-73.9874497,40.7355392,New York
87,1713,MANHATTAN VILLAGE ACADEMY,All Students,4 year June,2012,95,0.0,-73.9874497,40.7355392,New York
88,1799,VANGUARD HS,All Students,4 year August,2012,101,12.87128,-73.9825283,40.7147219,New York
89,1807,VANGUARD HS,All Students,4 year June,2012,101,12.87128,-73.9825283,40.7147219,New York
90,1846,MANHATTAN INTERNATIONAL HS,All Students,4 year August,2012,82,7.317073,-73.959814,40.765409,New York
91,1854,MANHATTAN INTERNATIONAL HS,All Students,4 year June,2012,82,7.317073,-73.959814,40.765409,New York
92,1938,STUYVESANT HS,All Students,4 year August,2012,800,0.375,-73.9874497,40.7355392,New York
93,1946,STUYVESANT HS,All Students,4 year June,2012,800,0.375,-73.9874497,40.7355392,New York
94,1985,HS OF ECONOMICS AND FINANCE,All Students,4 year August,2012,166,9.036144,-74.0138419443,40.7179876,New York
95,1993,HS OF ECONOMICS AND FINANCE,All Students,4 year June,2012,166,9.036144,-74.0138419443,40.7179876,New York
96,2032,UNITY CENTER FOR URBAN TECHNOLOGIES,All Students,4 year August,2012,77,9.090909,-74.0121822,40.709228,New York
97,2040,UNITY CENTER FOR URBAN TECHNOLOGIES,All Students,4 year June,2012,77,9.090909,-74.0121822,40.709228,New York
98,2079,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,All Students,4 year August,2012,120,2.5,-74.0030835,40.7278344,New York
99,2082,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,All Students,4 year June,2012,120,2.5,-74.0030835,40.7278344,New York
100,2093,TALENT UNLIMITED HS,All Students,4 year August,2012,127,0.0,-73.9903460996,40.76367915,New York
