,lat,lon
441,40.66297,-73.94181
442,40.665308,-73.939863
443,40.663004,-73.94128
444,40.665253,-73.949402
445,40.666064,-73.958935
446,40.665233,-73.961421
447,40.666407,-73.954111
448,40.670216,-73.958201
449,40.665242,-73.961251
450,40.669987,-73.954692
451,40.77617,-73.790938
452,40.787081,-73.784503
453,40.776017,-73.793287
454,40.779865,-73.802282
455,40.778233,-73.801564
456,40.780894,-73.794097
457,40.780054,-73.799268
458,40.775635,-73.803622
459,40.787093,-73.777444
460,40.776317,-73.787907
461,40.787372,-73.779521
462,40.782354,-73.793974
463,40.782929,-73.77563
464,40.779978,-73.774494
465,40.783517,-73.794763
466,40.779374,-73.802226
467,40.784466,-73.785434
468,40.775188,-73.79285
469,40.78619,-73.783368
470,40.778322,-73.797834
471,40.788162,-73.782664
472,40.78342,-73.798662
473,40.788464,-73.788871
474,40.782616,-73.773517
475,40.782709,-73.795345
476,40.783795,-73.797087
477,40.781569,-73.77829
478,40.777419,-73.775554
479,40.781253,-73.794175
480,40.685641,-74.001367
481,40.676373,-74.015854
482,40.67307,-74.012215
483,40.674947,-74.010406
484,40.686869,-73.994027
485,40.684257,-73.999274
486,40.686359,-74.001965
487,40.678278,-74.00897
488,40.681901,-74.006891
489,40.681992,-73.992627
490,40.677428,-73.999657
491,40.683244,-73.996399
492,40.677592,-74.005177
493,40.675607,-74.009259
494,40.68317,-74.002111
495,40.68929,-73.99264
496,40.683641,-73.993032
497,40.676094,-74.011768
498,40.672705,-74.002719
499,40.673894,-74.004889
500,40.687146,-74.000195
501,40.678551,-74.011378
502,40.684886,-73.997936
503,40.683519,-74.002825
504,40.679226,-74.010585
505,40.684438,-74.000676
506,40.675008,-74.01287
507,40.678727,-73.992478
508,40.6762,-74.016526
509,40.686427,-73.997544
510,40.679598,-73.988848
511,40.684179,-73.994418
512,40.687482,-73.996143
513,40.689819,-73.993207
514,40.684589,-74.003934
515,40.687381,-74.000429
516,40.687211,-73.995061
517,40.677631,-73.991439
518,40.676723,-73.999433
519,40.679248,-74.014445
520,40.683034,-73.998366
521,40.676861,-74.000905
522,40.685278,-73.996818
523,40.724071,-73.796528
524,40.717162,-73.803403
525,40.731277,-73.800539
526,40.733928,-73.805093
527,40.720299,-73.80536
528,40.736582,-73.801202
529,40.720408,-73.806321
530,40.733919,-73.802946
531,40.73798,-73.802009
532,40.725714,-73.804685
533,40.732106,-73.800486
534,40.732847,-73.800196
535,40.727722,-73.797622
536,40.725535,-73.797986
