,DayofWeek,OccurrenceMonth,OccurrenceDay,OccurrenceYear,OccurrenceHour,Offense,Borough,lat,lon
52584,Tuesday,Apr,21,2015,1100,GRAND LARCENY,Manhattan,40.813107346,-73.938471954
57073,Saturday,May,30,2015,1400,GRAND LARCENY,Manhattan,40.745671404,-73.98962218
63623,Saturday,Jul,25,2015,1600,GRAND LARCENY,Manhattan,40.728873724,-73.992291119
56395,Sunday,May,24,2015,1600,GRAND LARCENY,Manhattan,40.7966511,-73.968478632
35905,Wednesday,Jul,8,2015,1900,BURGLARY,Manhattan,40.774938259,-73.947854835
14315,Thursday,Jan,15,2015,1400,FELONY ASSAULT,Manhattan,40.800855144,-73.938945604
22000,Monday,Jun,15,2015,1400,FELONY ASSAULT,Manhattan,40.843643193,-73.940160477
11495,Thursday,Aug,20,2015,2200,ROBBERY,Manhattan,40.802569927,-73.942993096
62003,Sunday,Jul,12,2015,1700,GRAND LARCENY,Manhattan,40.758708942,-73.972741512
36456,Wednesday,Jul,22,2015,100,BURGLARY,Manhattan,40.734138361,-74.003768513
28209,Tuesday,Sep,22,2015,900,FELONY ASSAULT,Manhattan,40.802114486,-73.938030616
6272,Friday,May,1,2015,2000,ROBBERY,Manhattan,40.757379872,-73.984126607
62341,Wednesday,Jul,15,2015,1400,GRAND LARCENY,Manhattan,40.715863456,-74.009221734
52941,Friday,Apr,24,2015,1300,GRAND LARCENY,Manhattan,40.75806166,-73.999532202
